Ship Mode,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Profit Margin,Discounted Price,Order Date,Month_Year,Month-Year
Second Class,Corporate,United States,La Porte,Indiana,46350,Central,Office Supplies,Appliances,37.68,2,0.0,10.5504,0.28,37.68,2018-07-27 19:39:01.299117882,2018-07,2018-07
Second Class,Corporate,United States,La Porte,Indiana,46350,Central,Office Supplies,Paper,19.98,2,0.0,8.991,0.45,19.98,2018-07-28 00:02:27.233360064,2018-07,2018-07
Second Class,Corporate,United States,La Porte,Indiana,46350,Central,Office Supplies,Art,20.58,7,0.0,5.5566,0.27,20.58,2018-07-28 04:25:53.167602244,2018-07,2018-07
Second Class,Corporate,United States,La Porte,Indiana,46350,Central,Office Supplies,Binders,17.38,2,0.0,8.69,0.5,17.38,2018-07-28 08:49:19.101844426,2018-07,2018-07
Standard Class,Consumer,United States,Los Angeles,California,90045,West,Furniture,Furnishings,204.6,2,0.0,53.196,0.26,204.6,2018-07-28 13:12:45.036086608,2018-07,2018-07
Standard Class,Consumer,United States,Los Angeles,California,90045,West,Office Supplies,Fasteners,8.72,4,0.0,2.8776,0.33,8.72,2018-07-28 17:36:10.970328788,2018-07,2018-07
Standard Class,Consumer,United States,Los Angeles,California,90045,West,Office Supplies,Paper,6.48,1,0.0,3.1104,0.48,6.48,2018-07-28 21:59:36.904570968,2018-07,2018-07
Standard Class,Consumer,United States,Los Angeles,California,90045,West,Technology,Machines,686.32,2,0.2,223.054,0.32,549.06,2018-07-29 02:23:02.838813152,2018-07,2018-07
Standard Class,Consumer,United States,Los Angeles,California,90045,West,Office Supplies,Storage,62.18,1,0.0,16.7886,0.27,62.18,2018-07-29 06:46:28.773055332,2018-07,2018-07
Same Day,Consumer,United States,Lansing,Michigan,48911,Central,Office Supplies,Appliances,644.076,2,0.1,107.346,0.17,579.67,2018-07-29 11:09:54.707297512,2018-07,2018-07
Same Day,Consumer,United States,Lansing,Michigan,48911,Central,Office Supplies,Fasteners,5.84,2,0.0,2.628,0.45,5.84,2018-07-29 15:33:20.641539696,2018-07,2018-07
Same Day,Consumer,United States,Lansing,Michigan,48911,Central,Office Supplies,Binders,12.76,2,0.0,5.8696,0.46,12.76,2018-07-29 19:56:46.575781876,2018-07,2018-07
Same Day,Consumer,United States,Lansing,Michigan,48911,Central,Technology,Phones,10.95,1,0.0,0.438,0.04,10.95,2018-07-30 00:20:12.510024056,2018-07,2018-07
Same Day,Consumer,United States,Lansing,Michigan,48911,Central,Technology,Copiers,599.98,2,0.0,209.993,0.35,599.98,2018-07-30 04:43:38.444266240,2018-07,2018-07
Standard Class,Corporate,United States,Cuyahoga Falls,Ohio,44221,East,Furniture,Furnishings,8.352,6,0.2,1.2528,0.15,6.68,2018-07-30 09:07:04.378508420,2018-07,2018-07
Standard Class,Corporate,United States,Reno,Nevada,89502,West,Office Supplies,Art,3.64,2,0.0,1.638,0.45,3.64,2018-07-30 13:30:30.312750600,2018-07,2018-07
Standard Class,Corporate,United States,Reno,Nevada,89502,West,Office Supplies,Binders,159.768,7,0.2,53.9217,0.34,127.81,2018-07-30 17:53:56.246992784,2018-07,2018-07
First Class,Home Office,United States,Harrisonburg,Virginia,22801,South,Office Supplies,Storage,122.48,2,0.0,0.0,0.0,122.48,2018-07-30 22:17:22.181234964,2018-07,2018-07
First Class,Home Office,United States,Harrisonburg,Virginia,22801,South,Furniture,Tables,2244.48,7,0.0,493.7856,0.22,2244.48,2018-07-31 02:40:48.115477144,2018-07,2018-07
First Class,Home Office,United States,Harrisonburg,Virginia,22801,South,Office Supplies,Binders,62.31,3,0.0,29.2857,0.47,62.31,2018-07-31 07:04:14.049719324,2018-07,2018-07
First Class,Home Office,United States,Harrisonburg,Virginia,22801,South,Furniture,Tables,455.1,2,0.0,100.122,0.22,455.1,2018-07-31 11:27:39.983961508,2018-07,2018-07
Second Class,Corporate,United States,Los Angeles,California,90004,West,Furniture,Chairs,195.184,1,0.2,19.5184,0.1,156.15,2018-07-31 15:51:05.918203688,2018-07,2018-07
Standard Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Appliances,362.94,3,0.0,90.735,0.25,362.94,2018-07-31 20:14:31.852445868,2018-07,2018-07
Standard Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Binders,11.54,2,0.0,5.77,0.5,11.54,2018-08-01 00:37:57.786688052,2018-08,2018-08
Second Class,Consumer,United States,Escondido,California,92025,West,Office Supplies,Art,53.94,3,0.0,15.6426,0.29,53.94,2018-08-01 05:01:23.720930232,2018-08,2018-08
Standard Class,Home Office,United States,New York City,New York,10035,East,Technology,Phones,9.99,1,0.0,4.5954,0.46,9.99,2018-08-01 09:24:49.655172412,2018-08,2018-08
Standard Class,Home Office,United States,New York City,New York,10035,East,Office Supplies,Binders,125.76,3,0.2,40.872,0.32,100.61,2018-08-01 13:48:15.589414596,2018-08,2018-08
Standard Class,Home Office,United States,New York City,New York,10035,East,Office Supplies,Binders,25.32,5,0.2,9.1785,0.36,20.26,2018-08-01 18:11:41.523656776,2018-08,2018-08
Standard Class,Consumer,United States,Jackson,Michigan,49201,Central,Office Supplies,Binders,46.8,4,0.0,21.06,0.45,46.8,2018-08-01 22:35:07.457898956,2018-08,2018-08
Same Day,Consumer,United States,Seattle,Washington,98115,West,Technology,Accessories,447.93,9,0.0,49.2723,0.11,447.93,2018-08-02 02:58:33.392141140,2018-08,2018-08
Second Class,Consumer,United States,New York City,New York,10035,East,Furniture,Furnishings,109.48,2,0.0,33.9388,0.31,109.48,2018-08-02 07:21:59.326383320,2018-08,2018-08
Second Class,Consumer,United States,New York City,New York,10035,East,Office Supplies,Storage,272.94,3,0.0,0.0,0.0,272.94,2018-08-02 11:45:25.260625500,2018-08,2018-08
Second Class,Consumer,United States,New York City,New York,10035,East,Office Supplies,Paper,19.44,3,0.0,9.3312,0.48,19.44,2018-08-02 16:08:51.194867680,2018-08,2018-08
Second Class,Consumer,United States,New York City,New York,10035,East,Office Supplies,Storage,31.92,4,0.0,8.2992,0.26,31.92,2018-08-02 20:32:17.129109864,2018-08,2018-08
Standard Class,Consumer,United States,Royal Oak,Michigan,48073,Central,Office Supplies,Paper,22.38,2,0.0,10.7424,0.48,22.38,2018-08-03 00:55:43.063352044,2018-08,2018-08
Standard Class,Consumer,United States,Los Angeles,California,90008,West,Office Supplies,Binders,16.52,5,0.2,5.5755,0.34,13.22,2018-08-03 05:19:08.997594224,2018-08,2018-08
Standard Class,Consumer,United States,Bloomington,Illinois,61701,Central,Office Supplies,Binders,5.176,4,0.8,-7.764,-1.5,1.04,2018-08-03 09:42:34.931836408,2018-08,2018-08
First Class,Corporate,United States,New York City,New York,10035,East,Office Supplies,Binders,50.112,6,0.2,16.2864,0.32,40.09,2018-08-03 14:06:00.866078588,2018-08,2018-08
Standard Class,Home Office,United States,Concord,New Hampshire,3301,East,Office Supplies,Supplies,27.93,3,0.0,8.0997,0.29,27.93,2018-08-03 18:29:26.800320768,2018-08,2018-08
Second Class,Home Office,United States,Los Angeles,California,90004,West,Office Supplies,Labels,11.56,4,0.0,5.4332,0.47,11.56,2018-08-03 22:52:52.734562952,2018-08,2018-08
Standard Class,Consumer,United States,Rockville,Maryland,20852,East,Furniture,Chairs,172.5,2,0.0,51.75,0.3,172.5,2018-08-04 03:16:18.668805132,2018-08,2018-08
Standard Class,Consumer,United States,Rockville,Maryland,20852,East,Technology,Phones,179.97,3,0.0,44.9925,0.25,179.97,2018-08-04 07:39:44.603047312,2018-08,2018-08
Second Class,Home Office,United States,Houston,Texas,77070,Central,Technology,Accessories,258.696,3,0.2,64.674,0.25,206.96,2018-08-04 12:03:10.537289496,2018-08,2018-08
Standard Class,Consumer,United States,Lakewood,New Jersey,8701,East,Technology,Phones,1322.93,7,0.0,357.1911,0.27,1322.93,2018-08-04 16:26:36.471531676,2018-08,2018-08
Standard Class,Consumer,United States,Lakewood,New Jersey,8701,East,Office Supplies,Art,3.76,2,0.0,1.0904,0.29,3.76,2018-08-04 20:50:02.405773856,2018-08,2018-08
First Class,Consumer,United States,Jacksonville,North Carolina,28540,South,Office Supplies,Envelopes,21.744,1,0.2,7.3386,0.34,17.4,2018-08-05 01:13:28.340016036,2018-08,2018-08
First Class,Consumer,United States,Jacksonville,North Carolina,28540,South,Technology,Phones,7.92,5,0.2,0.693,0.09,6.34,2018-08-05 05:36:54.274258220,2018-08,2018-08
Standard Class,Corporate,United States,Seattle,Washington,98103,West,Office Supplies,Binders,12.096,7,0.2,4.2336,0.35,9.68,2018-08-05 10:00:20.208500400,2018-08,2018-08
Standard Class,Corporate,United States,Seattle,Washington,98103,West,Office Supplies,Storage,485.88,6,0.0,9.7176,0.02,485.88,2018-08-05 14:23:46.142742580,2018-08,2018-08
Standard Class,Corporate,United States,Seattle,Washington,98103,West,Office Supplies,Paper,25.92,4,0.0,12.4416,0.48,25.92,2018-08-05 18:47:12.076984764,2018-08,2018-08
Standard Class,Corporate,United States,Seattle,Washington,98103,West,Office Supplies,Storage,197.58,2,0.0,53.3466,0.27,197.58,2018-08-05 23:10:38.011226944,2018-08,2018-08
Second Class,Home Office,United States,Los Angeles,California,90036,West,Office Supplies,Appliances,81.92,4,0.0,22.1184,0.27,81.92,2018-08-06 03:34:03.945469124,2018-08,2018-08
Second Class,Home Office,United States,Los Angeles,California,90036,West,Technology,Phones,889.536,8,0.2,66.7152,0.08,711.63,2018-08-06 07:57:29.879711308,2018-08,2018-08
Second Class,Home Office,United States,Los Angeles,California,90036,West,Furniture,Chairs,892.224,3,0.2,89.2224,0.1,713.78,2018-08-06 12:20:55.813953488,2018-08,2018-08
Second Class,Home Office,United States,Los Angeles,California,90036,West,Office Supplies,Paper,223.92,4,0.0,109.7208,0.49,223.92,2018-08-06 16:44:21.748195668,2018-08,2018-08
Second Class,Home Office,United States,Los Angeles,California,90036,West,Office Supplies,Paper,23.12,4,0.0,11.3288,0.49,23.12,2018-08-06 21:07:47.682437852,2018-08,2018-08
Same Day,Corporate,United States,Coral Springs,Florida,33065,South,Office Supplies,Paper,15.552,3,0.2,5.4432,0.35,12.44,2018-08-07 01:31:13.616680032,2018-08,2018-08
Same Day,Corporate,United States,Coral Springs,Florida,33065,South,Furniture,Furnishings,15.712,4,0.2,2.5532,0.16,12.57,2018-08-07 05:54:39.550922212,2018-08,2018-08
Same Day,Corporate,United States,Coral Springs,Florida,33065,South,Office Supplies,Storage,24.672,2,0.2,2.1588,0.09,19.74,2018-08-07 10:18:05.485164392,2018-08,2018-08
Same Day,Corporate,United States,Coral Springs,Florida,33065,South,Furniture,Furnishings,55.968,1,0.2,-2.0988,-0.04,44.77,2018-08-07 14:41:31.419406576,2018-08,2018-08
Standard Class,Consumer,United States,Houston,Texas,77041,Central,Technology,Accessories,431.928,9,0.2,64.7892,0.15,345.54,2018-08-07 19:04:57.353648756,2018-08,2018-08
Standard Class,Consumer,United States,Houston,Texas,77041,Central,Furniture,Chairs,95.984,4,0.3,-4.1136,-0.04,67.19,2018-08-07 23:28:23.287890936,2018-08,2018-08
Standard Class,Consumer,United States,Houston,Texas,77041,Central,Office Supplies,Binders,1088.792,4,0.8,-1850.9464,-1.7,217.76,2018-08-08 03:51:49.222133120,2018-08,2018-08
Standard Class,Corporate,United States,Denver,Colorado,80219,West,Furniture,Chairs,544.008,3,0.2,40.8006,0.08,435.21,2018-08-08 08:15:15.156375300,2018-08,2018-08
Standard Class,Corporate,United States,Denver,Colorado,80219,West,Office Supplies,Binders,1.872,3,0.7,-1.4352,-0.77,0.56,2018-08-08 12:38:41.090617480,2018-08,2018-08
Standard Class,Corporate,United States,Denver,Colorado,80219,West,Furniture,Chairs,854.352,3,0.2,10.6794,0.01,683.48,2018-08-08 17:02:07.024859664,2018-08,2018-08
Standard Class,Corporate,United States,Denver,Colorado,80219,West,Office Supplies,Storage,593.568,2,0.2,0.0,0.0,474.85,2018-08-08 21:25:32.959101844,2018-08,2018-08
Standard Class,Corporate,United States,Denver,Colorado,80219,West,Office Supplies,Storage,338.04,3,0.2,-33.804,-0.1,270.43,2018-08-09 01:48:58.893344024,2018-08,2018-08
First Class,Consumer,United States,Charlotte,North Carolina,28205,South,Technology,Phones,271.96,5,0.2,16.9975,0.06,217.57,2018-08-09 06:12:24.827586208,2018-08,2018-08
Second Class,Corporate,United States,New York City,New York,10009,East,Office Supplies,Storage,11.21,1,0.0,3.363,0.3,11.21,2018-08-09 10:35:50.761828388,2018-08,2018-08
Second Class,Corporate,United States,New York City,New York,10009,East,Office Supplies,Binders,9.144,3,0.2,3.2004,0.35,7.32,2018-08-09 14:59:16.696070568,2018-08,2018-08
Second Class,Corporate,United States,New York City,New York,10009,East,Office Supplies,Fasteners,14.07,7,0.0,6.8943,0.49,14.07,2018-08-09 19:22:42.630312748,2018-08,2018-08
Second Class,Corporate,United States,New York City,New York,10009,East,Office Supplies,Art,41.86,7,0.0,10.465,0.25,41.86,2018-08-09 23:46:08.564554932,2018-08,2018-08
Second Class,Corporate,United States,New York City,New York,10009,East,Office Supplies,Binders,8.544,2,0.2,2.8836,0.34,6.84,2018-08-10 04:09:34.498797112,2018-08,2018-08
Second Class,Corporate,United States,New York City,New York,10009,East,Furniture,Bookcases,579.136,4,0.2,21.7176,0.04,463.31,2018-08-10 08:33:00.433039292,2018-08,2018-08
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19134,East,Furniture,Chairs,141.372,2,0.3,-48.4704,-0.34,98.96,2018-08-10 12:56:26.367281476,2018-08,2018-08
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19134,East,Office Supplies,Binders,3.036,2,0.7,-2.3276,-0.77,0.91,2018-08-10 17:19:52.301523656,2018-08,2018-08
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19134,East,Office Supplies,Binders,4.503,1,0.7,-3.6024,-0.8,1.35,2018-08-10 21:43:18.235765836,2018-08,2018-08
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19134,East,Office Supplies,Art,4.672,1,0.2,1.5768,0.34,3.74,2018-08-11 02:06:44.170008020,2018-08,2018-08
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19134,East,Technology,Accessories,95.88,3,0.2,28.764,0.3,76.7,2018-08-11 06:30:10.104250200,2018-08,2018-08
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19134,East,Furniture,Furnishings,17.024,2,0.2,1.7024,0.1,13.62,2018-08-11 10:53:36.038492380,2018-08,2018-08
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19134,East,Technology,Accessories,258.696,3,0.2,64.674,0.25,206.96,2018-08-11 15:17:01.972734564,2018-08,2018-08
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19134,East,Technology,Phones,1931.958,7,0.4,-386.3916,-0.2,1159.17,2018-08-11 19:40:27.906976744,2018-08,2018-08
Standard Class,Home Office,United States,Los Angeles,California,90036,West,Office Supplies,Storage,249.75,9,0.0,44.955,0.18,249.75,2018-08-12 00:03:53.841218924,2018-08,2018-08
Standard Class,Home Office,United States,Los Angeles,California,90036,West,Technology,Phones,255.936,8,0.2,28.7928,0.11,204.75,2018-08-12 04:27:19.775461104,2018-08,2018-08
First Class,Consumer,United States,New York City,New York,10024,East,Furniture,Furnishings,113.79,3,0.0,20.4822,0.18,113.79,2018-08-12 08:50:45.709703288,2018-08,2018-08
First Class,Consumer,United States,New York City,New York,10024,East,Technology,Accessories,78.15,1,0.0,34.386,0.44,78.15,2018-08-12 13:14:11.643945468,2018-08,2018-08
First Class,Consumer,United States,New York City,New York,10024,East,Office Supplies,Binders,1.728,1,0.2,0.6048,0.35,1.38,2018-08-12 17:37:37.578187648,2018-08,2018-08
First Class,Consumer,United States,New York City,New York,10024,East,Office Supplies,Paper,40.56,4,0.0,19.8744,0.49,40.56,2018-08-12 22:01:03.512429832,2018-08,2018-08
First Class,Consumer,United States,New York City,New York,10024,East,Office Supplies,Storage,182.94,3,0.0,3.6588,0.02,182.94,2018-08-13 02:24:29.446672012,2018-08,2018-08
First Class,Consumer,United States,New York City,New York,10024,East,Office Supplies,Storage,193.86,2,0.0,11.6316,0.06,193.86,2018-08-13 06:47:55.380914192,2018-08,2018-08
Standard Class,Consumer,United States,Los Angeles,California,90045,West,Office Supplies,Envelopes,15.28,2,0.0,7.4872,0.49,15.28,2018-08-13 11:11:21.315156376,2018-08,2018-08
Standard Class,Consumer,United States,Los Angeles,California,90045,West,Furniture,Furnishings,8.73,1,0.0,2.9682,0.34,8.73,2018-08-13 15:34:47.249398556,2018-08,2018-08
Standard Class,Consumer,United States,Los Angeles,California,90045,West,Office Supplies,Art,5.68,2,0.0,1.7608,0.31,5.68,2018-08-13 19:58:13.183640736,2018-08,2018-08
Second Class,Consumer,United States,Buffalo,New York,14215,East,Office Supplies,Art,2.78,2,0.0,0.7228,0.26,2.78,2018-08-14 00:21:39.117882920,2018-08,2018-08
Second Class,Consumer,United States,Buffalo,New York,14215,East,Office Supplies,Envelopes,79.96,2,0.0,35.982,0.45,79.96,2018-08-14 04:45:05.052125100,2018-08,2018-08
First Class,Corporate,United States,Cincinnati,Ohio,45231,East,Technology,Copiers,839.988,2,0.4,69.999,0.08,503.99,2018-08-14 09:08:30.986367280,2018-08,2018-08
Same Day,Consumer,United States,Boynton Beach,Florida,33437,South,Furniture,Furnishings,47.952,3,0.2,13.7862,0.29,38.36,2018-08-14 13:31:56.920609460,2018-08,2018-08
Same Day,Consumer,United States,Boynton Beach,Florida,33437,South,Office Supplies,Binders,37.425,5,0.7,-29.94,-0.8,11.23,2018-08-14 17:55:22.854851644,2018-08,2018-08
Same Day,Consumer,United States,Boynton Beach,Florida,33437,South,Furniture,Furnishings,63.968,2,0.2,0.0,0.0,51.17,2018-08-14 22:18:48.789093824,2018-08,2018-08
Same Day,Consumer,United States,Boynton Beach,Florida,33437,South,Furniture,Furnishings,165.048,3,0.2,41.262,0.25,132.04,2018-08-15 02:42:14.723336004,2018-08,2018-08
Standard Class,Consumer,United States,Seattle,Washington,98105,West,Furniture,Furnishings,12.35,1,0.0,5.434,0.44,12.35,2018-08-15 07:05:40.657578188,2018-08,2018-08
Standard Class,Consumer,United States,Seattle,Washington,98105,West,Office Supplies,Art,40.97,1,0.0,10.6522,0.26,40.97,2018-08-15 11:29:06.591820368,2018-08,2018-08
Standard Class,Consumer,United States,Seattle,Washington,98105,West,Office Supplies,Fasteners,22.96,2,0.0,10.7912,0.47,22.96,2018-08-15 15:52:32.526062548,2018-08,2018-08
Standard Class,Home Office,United States,New York City,New York,10024,East,Technology,Phones,22.0,4,0.0,5.5,0.25,22.0,2018-08-15 20:15:58.460304732,2018-08,2018-08
Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Binders,398.352,3,0.2,124.485,0.31,318.68,2018-08-16 00:39:24.394546912,2018-08,2018-08
Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Fasteners,8.72,4,0.0,3.5752,0.41,8.72,2018-08-16 05:02:50.328789092,2018-08,2018-08
Standard Class,Consumer,United States,Gulfport,Mississippi,39503,South,Office Supplies,Envelopes,48.69,9,0.0,23.8581,0.49,48.69,2018-08-16 09:26:16.263031276,2018-08,2018-08
Second Class,Consumer,United States,Fresno,California,93727,West,Furniture,Tables,764.688,6,0.2,95.586,0.12,611.75,2018-08-16 13:49:42.197273456,2018-08,2018-08
Second Class,Consumer,United States,Fresno,California,93727,West,Furniture,Tables,3610.848,12,0.2,135.4068,0.04,2888.68,2018-08-16 18:13:08.131515636,2018-08,2018-08
Second Class,Consumer,United States,Fresno,California,93727,West,Furniture,Bookcases,254.9745,3,0.15,11.9988,0.05,216.73,2018-08-16 22:36:34.065757820,2018-08,2018-08
Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Art,38.82,6,0.0,17.469,0.45,38.82,2018-08-17 03:00:00.000000000,2018-08,2018-08
Standard Class,Consumer,United States,New York City,New York,10009,East,Furniture,Chairs,1141.938,9,0.1,139.5702,0.12,1027.74,2018-08-17 07:23:25.934242180,2018-08,2018-08
Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Appliances,1704.56,13,0.0,511.368,0.3,1704.56,2018-08-17 11:46:51.868484360,2018-08,2018-08
Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Art,3.2,2,0.0,1.376,0.43,3.2,2018-08-17 16:10:17.802726544,2018-08,2018-08
Standard Class,Consumer,United States,Milwaukee,Wisconsin,53209,Central,Technology,Phones,1099.96,4,0.0,285.9896,0.26,1099.96,2018-08-17 20:33:43.736968724,2018-08,2018-08
Standard Class,Home Office,United States,Chester,Pennsylvania,19013,East,Office Supplies,Art,5.248,2,0.2,0.5904,0.11,4.2,2018-08-18 00:57:09.671210904,2018-08,2018-08
Standard Class,Home Office,United States,Chester,Pennsylvania,19013,East,Technology,Phones,35.91,3,0.4,-8.379,-0.23,21.55,2018-08-18 05:20:35.605453088,2018-08,2018-08
Standard Class,Home Office,United States,Chester,Pennsylvania,19013,East,Furniture,Furnishings,6.696,1,0.2,0.5022,0.08,5.36,2018-08-18 09:44:01.539695268,2018-08,2018-08
Standard Class,Home Office,United States,Chester,Pennsylvania,19013,East,Furniture,Furnishings,43.872,2,0.2,11.5164,0.26,35.1,2018-08-18 14:07:27.473937448,2018-08,2018-08
Second Class,Home Office,United States,Charlotte,North Carolina,28205,South,Office Supplies,Binders,27.882,3,0.7,-20.4468,-0.73,8.36,2018-08-18 18:30:53.408179632,2018-08,2018-08
Second Class,Home Office,United States,Charlotte,North Carolina,28205,South,Office Supplies,Storage,540.048,3,0.2,-47.2542,-0.09,432.04,2018-08-18 22:54:19.342421812,2018-08,2018-08
Second Class,Home Office,United States,Charlotte,North Carolina,28205,South,Technology,Accessories,255.68,8,0.2,76.704,0.3,204.54,2018-08-19 03:17:45.276663992,2018-08,2018-08
Standard Class,Consumer,United States,Jacksonville,Florida,32216,South,Technology,Phones,863.88,3,0.2,107.985,0.12,691.1,2018-08-19 07:41:11.210906176,2018-08,2018-08
Standard Class,Corporate,United States,Greenville,North Carolina,27834,South,Office Supplies,Binders,17.616,4,0.7,-14.0928,-0.8,5.28,2018-08-19 12:04:37.145148356,2018-08,2018-08
Second Class,Consumer,United States,Long Beach,New York,11561,East,Office Supplies,Binders,17.472,3,0.2,6.3336,0.36,13.98,2018-08-19 16:28:03.079390536,2018-08,2018-08
First Class,Consumer,United States,La Porte,Indiana,46350,Central,Technology,Phones,69.9,2,0.0,18.873,0.27,69.9,2018-08-19 20:51:29.013632716,2018-08,2018-08
First Class,Consumer,United States,La Porte,Indiana,46350,Central,Furniture,Furnishings,41.85,5,0.0,10.881,0.26,41.85,2018-08-20 01:14:54.947874900,2018-08,2018-08
Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Art,6.57,3,0.0,1.7739,0.27,6.57,2018-08-20 05:38:20.882117080,2018-08,2018-08
Standard Class,Corporate,United States,Los Angeles,California,90045,West,Office Supplies,Storage,142.86,1,0.0,41.4294,0.29,142.86,2018-08-20 10:01:46.816359260,2018-08,2018-08
Standard Class,Corporate,United States,Los Angeles,California,90045,West,Furniture,Chairs,292.272,6,0.2,18.267,0.06,233.82,2018-08-20 14:25:12.750601444,2018-08,2018-08
Standard Class,Corporate,United States,Louisville,Colorado,80027,West,Furniture,Furnishings,29.328,3,0.2,3.666,0.12,23.46,2018-08-20 18:48:38.684843624,2018-08,2018-08
Standard Class,Consumer,United States,Florence,Alabama,35630,South,Office Supplies,Paper,12.48,2,0.0,5.616,0.45,12.48,2018-08-20 23:12:04.619085804,2018-08,2018-08
Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Office Supplies,Storage,102.336,4,0.2,-12.792,-0.12,81.87,2018-08-21 03:35:30.553327988,2018-08,2018-08
Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Office Supplies,Appliances,48.792,3,0.8,-126.8592,-2.6,9.76,2018-08-21 07:58:56.487570168,2018-08,2018-08
Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Office Supplies,Binders,44.848,8,0.8,-67.272,-1.5,8.97,2018-08-21 12:22:22.421812348,2018-08,2018-08
Same Day,Consumer,United States,Fort Worth,Texas,76106,Central,Office Supplies,Paper,10.368,2,0.2,3.6288,0.35,8.29,2018-08-21 16:45:48.356054532,2018-08,2018-08
Same Day,Consumer,United States,Fort Worth,Texas,76106,Central,Furniture,Chairs,388.43,5,0.3,-88.784,-0.23,271.9,2018-08-21 21:09:14.290296712,2018-08,2018-08
Same Day,Consumer,United States,Fort Worth,Texas,76106,Central,Office Supplies,Paper,14.352,3,0.2,5.2026,0.36,11.48,2018-08-22 01:32:40.224538892,2018-08,2018-08
Same Day,Consumer,United States,Fort Worth,Texas,76106,Central,Technology,Accessories,63.992,1,0.2,-7.1991,-0.11,51.19,2018-08-22 05:56:06.158781072,2018-08,2018-08
Standard Class,Consumer,United States,Houston,Texas,77070,Central,Office Supplies,Art,86.352,3,0.2,5.397,0.06,69.08,2018-08-22 10:19:32.093023256,2018-08,2018-08
First Class,Corporate,United States,Macon,Georgia,31204,South,Technology,Accessories,32.97,3,0.0,12.8583,0.39,32.97,2018-08-22 14:42:58.027265436,2018-08,2018-08
First Class,Corporate,United States,Macon,Georgia,31204,South,Technology,Accessories,83.88,4,0.0,30.1968,0.36,83.88,2018-08-22 19:06:23.961507616,2018-08,2018-08
First Class,Consumer,United States,Cedar Rapids,Iowa,52402,Central,Technology,Phones,278.4,3,0.0,80.736,0.29,278.4,2018-08-22 23:29:49.895749800,2018-08,2018-08
First Class,Consumer,United States,Jacksonville,Florida,32216,South,Office Supplies,Labels,15.12,3,0.2,4.914,0.32,12.1,2018-08-23 03:53:15.829991980,2018-08,2018-08
First Class,Consumer,United States,Jacksonville,Florida,32216,South,Office Supplies,Binders,17.43,1,0.7,-13.363,-0.77,5.23,2018-08-23 08:16:41.764234160,2018-08,2018-08
First Class,Consumer,United States,Jacksonville,Florida,32216,South,Office Supplies,Paper,251.64,3,0.2,88.074,0.35,201.31,2018-08-23 12:40:07.698476344,2018-08,2018-08
Standard Class,Consumer,United States,Austin,Texas,78745,Central,Office Supplies,Binders,2.772,7,0.8,-4.851,-1.75,0.55,2018-08-23 17:03:33.632718524,2018-08,2018-08
Standard Class,Consumer,United States,Providence,Rhode Island,2908,East,Office Supplies,Storage,14.9,5,0.0,1.043,0.07,14.9,2018-08-23 21:26:59.566960704,2018-08,2018-08
Standard Class,Home Office,United States,New York City,New York,10035,East,Office Supplies,Art,15.48,3,0.0,4.4892,0.29,15.48,2018-08-24 01:50:25.501202888,2018-08,2018-08
Standard Class,Corporate,United States,New York City,New York,10009,East,Furniture,Furnishings,39.88,2,0.0,11.1664,0.28,39.88,2018-08-24 06:13:51.435445068,2018-08,2018-08
Standard Class,Corporate,United States,New York City,New York,10009,East,Office Supplies,Binders,12.192,4,0.2,4.1148,0.34,9.75,2018-08-24 10:37:17.369687248,2018-08,2018-08
Standard Class,Corporate,United States,New York City,New York,10009,East,Office Supplies,Art,20.82,3,0.0,7.4952,0.36,20.82,2018-08-24 15:00:43.303929428,2018-08,2018-08
First Class,Home Office,United States,San Francisco,California,94122,West,Office Supplies,Binders,13.216,4,0.2,4.4604,0.34,10.57,2018-08-24 19:24:09.238171612,2018-08,2018-08
First Class,Home Office,United States,San Francisco,California,94122,West,Office Supplies,Paper,32.4,5,0.0,15.552,0.48,32.4,2018-08-24 23:47:35.172413792,2018-08,2018-08
Standard Class,Consumer,United States,San Diego,California,92105,West,Office Supplies,Supplies,32.94,3,0.0,9.2232,0.28,32.94,2018-08-25 04:11:01.106655972,2018-08,2018-08
